L1 = Terminal Pathway,Splay,L2,L3,L4
oryzalexin D and E biosynthesis,L2A,Terpenoid Phytoalexin Biosynthesis (10 instances),Phytoalexin Biosynthesis (38 instances),Toxin Biosynthesis (205 instances)
Other (5 instances),L2A,Generation of Precursor Metabolites and Energy (240 instances),NA,NA
Other Amino Acid Biosynthesis (24 instances),L2A,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances),NA
Other Amino Acid Degradation (14 instances),L2A,Amino Acid Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances),NA
Other Biosynthesis (18 instances),L2A,Biosynthesis (1993 instances),NA,NA
oxalate biosynthesis,L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
Oxalate Degradation (6 instances),L2A,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances),NA
oxalate degradation I,L2A,Oxalate Degradation (6 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
oxalate degradation II,L2A,Oxalate Degradation (6 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
oxalate degradation III,L2A,Oxalate Degradation (6 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
oxalate degradation IV,L2A,Oxalate Degradation (6 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
oxalate degradation V,L2A,Oxalate Degradation (6 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
oxalate degradation VI,L2A,Oxalate Degradation (6 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
p-cumate degradation to 2-hydroxypentadienoate,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
p-cymene degradation to p-cumate,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
p-HBAD biosynthesis,L2A,Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances),NA
paerucumarin biosynthesis,L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
palmatine biosynthesis,L2A,Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances),Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)
Palmitate Biosynthesis (3 instances),L2A,Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
palmitate biosynthesis (type II fatty acid synthase),L2A,palmitate biosynthesis (type II fatty acid synthase),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
palmitate biosynthesis I (type I fatty acid synthase),L2A,Palmitate Biosynthesis (3 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
palmitate biosynthesis II (type II fatty acid synthase),L2A,Palmitate Biosynthesis (3 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
palmitate biosynthesis III,L2A,Palmitate Biosynthesis (3 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
Palmitoleate Biosynthesis (4 instances),L2A,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),L2A,Palmitoleate Biosynthesis (4 instances),Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
palmitoleate biosynthesis II (plants and bacteria),L2A,Palmitoleate Biosynthesis (4 instances),Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
palmitoleate biosynthesis III (cyanobacteria),L2A,Palmitoleate Biosynthesis (4 instances),Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
palmitoleate biosynthesis IV (fungi and animals),L2A,Palmitoleate Biosynthesis (4 instances),Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
palmitoyl ethanolamide biosynthesis,L2A,Nitrogen-Containing Secondary Compound Biosynthesis (122 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
palustric acid biosynthesis,L2A,Resin Acid Biosynthesis (7 instances),Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances)
papaverine biosynthesis,L2A,Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances),Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)
paraoxon degradation,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
parathion degradation,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
parkeol biosynthesis,L2A,Sterol Biosynthesis (28 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
Paromamine Biosynthesis (2 instances),L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
paromamine biosynthesis I,L2A,Paromamine Biosynthesis (2 instances),Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances)
paromamine biosynthesis II,L2A,Paromamine Biosynthesis (2 instances),Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances)
paromomycin biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
partial TCA cycle (obligate autotrophs),L2A,TCA cycle (9 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
paspaline biosynthesis,L2A,Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
patchoulol biosynthesis,L2A,Sesquiterpenoid Biosynthesis (41 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
patellamide A and C biosynthesis,L2A,Secondary Metabolite Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances),NA
patulin biosynthesis,L2A,Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
paxilline and diprenylpaxilline biosynthesis,L2A,Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
pelargonidin conjugates biosynthesis,L2A,Anthocyanin Biosynthesis (28 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
pelargonidin diglucoside biosynthesis (acyl-glucose dependent),L2A,Anthocyanin Biosynthesis (28 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
penicillin G and penicillin V biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
penicillin K biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
pentachlorophenol degradation,L2A,Chlorinated Compound Degradation (44 instances),Degradation/Utilization/Assimilation (1104 instances),NA
pentagalloylglucose biosynthesis,L2A,Hydrolyzable Tannin Biosynthesis (4 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
pentaketide chromone biosynthesis,L2A,Polyketide Biosynthesis (42 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
pentalenolactone biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
pentose phosphate pathway (non-oxidative branch) I,L2A,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
pentose phosphate pathway (non-oxidative branch) II,L2A,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
pentose phosphate pathway (oxidative branch) I,L2A,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
pentose phosphate pathway (oxidative branch) II,L2A,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
pentose phosphate pathway (partial),L2A,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
Pentose Phosphate Pathways (6 instances),L2A,Generation of Precursor Metabolites and Energy (240 instances),NA,NA
Peptide Alkaloid Biosynthesis (0 instances),L2A,Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances),Secondary Metabolite Biosynthesis (911 instances)
Peptidoglycan Biosynthesis (6 instances),L2A,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances),Biosynthesis (1993 instances)
peptidoglycan biosynthesis I (meso-diaminopimelate containing),L2A,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances),Biosynthesis (1993 instances)
Peptidoglycan Cross-Bridge Biosynthesis (4 instances),L2A,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances),Biosynthesis (1993 instances)
peptidoglycan cross-bridge biosynthesis I (S. aureus),L2A,Peptidoglycan Cross-Bridge Biosynthesis (4 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
peptidoglycan cross-bridge biosynthesis II (E. faecium),L2A,Peptidoglycan Cross-Bridge Biosynthesis (4 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis),L2A,Peptidoglycan Cross-Bridge Biosynthesis (4 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens),L2A,Peptidoglycan Cross-Bridge Biosynthesis (4 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
peptidoglycan maturation (meso-diaminopimelate containing),L2A,Peptidoglycan Biosynthesis (6 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
peramine biosynthesis,L2A,Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances),Secondary Metabolite Biosynthesis (911 instances)
perchlorate reduction,L2A,Anaerobic Respiration (40 instances),Respiration (65 instances),Generation of Precursor Metabolites and Energy (240 instances)
perillyl aldehyde biosynthesis,L2A,Monoterpenoid Biosynthesis (24 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
periplasmic disulfide bond formation,L2A,Protein Modification (41 instances),Macromolecule Modification (64 instances),NA
periplasmic disulfide bond reduction,L2A,Protein Modification (41 instances),Macromolecule Modification (64 instances),NA
petrobactin biosynthesis,L2A,Siderophore and Metallophore Biosynthesis (29 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
petroselinate biosynthesis,L2A,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phaselate biosynthesis,L2A,Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances),NA
phenazine-1-carboxylate biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
Phenol Degradation (2 instances),L2A,Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
phenol degradation I (aerobic),L2A,Phenol Degradation (2 instances),Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances)
phenol degradation II (anaerobic),L2A,Phenol Degradation (2 instances),Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances)
Phenolic Compound Degradation (27 instances),L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
phenolphthiocerol biosynthesis,L2A,Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances),NA
phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,L2A,Adenosylcobamide Biosynthesis (13 instances),Cobamide de novo Biosynthesis (21 instances),Cobamide Biosynthesis (28 instances)
Phenylacetate Degradation (2 instances),L2A,Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
phenylacetate degradation I (aerobic),L2A,Phenylacetate Degradation (2 instances),Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances)
phenylacetate degradation II (anaerobic),L2A,Phenylacetate Degradation (2 instances),Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances)
phenylethanol degradation,L2A,Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
phenylmercury acetate degradation,L2A,Mercury Detoxification (1 instances),Detoxification (65 instances),NA
phenylphenalenone biosynthesis,L2A,Polyketide Biosynthesis (42 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
"phenylpropanoid biosynthesis, initial reactions",L2A,Cinnamate Biosynthesis (14 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
Phenylpropanoid Derivative Biosynthesis (211 instances),L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
pheomelanin biosynthesis,L2A,Other Biosynthesis (18 instances),Biosynthesis (1993 instances),NA
Phlobaphene Biosynthesis (0 instances),L2A,Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
phloridzin biosynthesis,L2A,Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
phosalacine biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
phosphate acquisition,L2A,Phosphorus Compound Metabolism (19 instances),Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances)
phosphatidate biosynthesis (yeast),L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
"phosphatidate metabolism, as a signaling molecule",L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
phosphatidylcholine acyl editing,L2A,Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances),NA
Phosphatidylcholine Biosynthesis (8 instances),L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
phosphatidylcholine biosynthesis I,L2A,Phosphatidylcholine Biosynthesis (8 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphatidylcholine biosynthesis II,L2A,Phosphatidylcholine Biosynthesis (8 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphatidylcholine biosynthesis III,L2A,Phosphatidylcholine Biosynthesis (8 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphatidylcholine biosynthesis IV,L2A,Phosphatidylcholine Biosynthesis (8 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphatidylcholine biosynthesis V,L2A,Phosphatidylcholine Biosynthesis (8 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphatidylcholine biosynthesis VI,L2A,Phosphatidylcholine Biosynthesis (8 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphatidylcholine biosynthesis VII,L2A,Phosphatidylcholine Biosynthesis (8 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphatidylcholine resynthesis via glycerophosphocholine,L2A,Fatty Acid and Lipid Degradation (57 instances),Degradation/Utilization/Assimilation (1104 instances),NA
Phosphatidylethanolamine Biosynthesis (5 instances),L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
phosphatidylethanolamine biosynthesis II,L2A,Phosphatidylethanolamine Biosynthesis (5 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphatidylethanolamine biosynthesis III,L2A,Phosphatidylethanolamine Biosynthesis (5 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
Phosphatidylglycerol Biosynthesis (2 instances),L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
phosphatidylglycerol degradation,L2A,Fatty Acid and Lipid Degradation (57 instances),Degradation/Utilization/Assimilation (1104 instances),NA
Phosphatidylinositol Biosynthesis (2 instances),L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
phosphatidylinositol biosynthesis I (bacteria),L2A,Phosphatidylinositol Biosynthesis (2 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphatidylinositol biosynthesis II (eukaryotes),L2A,Phosphatidylinositol Biosynthesis (2 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphatidylinositol mannoside biosynthesis,L2A,Glycolipid Biosynthesis (8 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
Phosphatidylserine Biosynthesis (3 instances),L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
phosphatidylserine biosynthesis I,L2A,Phosphatidylserine Biosynthesis (3 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphatidylserine biosynthesis II,L2A,Phosphatidylserine Biosynthesis (3 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phosphinothricin tripeptide biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
Phospholipid Biosynthesis (38 instances),L2A,Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances),NA
phospholipid desaturation,L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
"phospholipid remodeling (phosphatidate, yeast)",L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
"phospholipid remodeling (phosphatidylcholine, yeast)",L2A,Phosphatidylcholine Biosynthesis (8 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
"phospholipid remodeling (phosphatidylethanolamine, yeast)",L2A,Phosphatidylethanolamine Biosynthesis (5 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
Phosphonate Compound Biosynthesis (3 instances),L2A,Phosphonate Metabolism (13 instances),Phosphorus Compound Metabolism (19 instances),Inorganic Nutrient Metabolism (142 instances)
Phosphonate Compound Degradation (9 instances),L2A,Phosphonate Metabolism (13 instances),Phosphorus Compound Metabolism (19 instances),Inorganic Nutrient Metabolism (142 instances)
Phosphonate Metabolism (13 instances),L2A,Phosphorus Compound Metabolism (19 instances),Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances)
phosphonoacetate degradation,L2A,Phosphonate Compound Degradation (9 instances),Phosphonate Metabolism (13 instances),Phosphorus Compound Metabolism (19 instances)
Phosphopantothenate Biosynthesis (3 instances),L2A,Coenzyme A Biosynthesis (8 instances),Carrier Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
phosphopantothenate biosynthesis I,L2A,Phosphopantothenate Biosynthesis (3 instances),Coenzyme A Biosynthesis (8 instances),Carrier Biosynthesis (137 instances)
phosphopantothenate biosynthesis II,L2A,Phosphopantothenate Biosynthesis (3 instances),Coenzyme A Biosynthesis (8 instances),Carrier Biosynthesis (137 instances)
phosphopantothenate biosynthesis III (archaea),L2A,Phosphopantothenate Biosynthesis (3 instances),Coenzyme A Biosynthesis (8 instances),Carrier Biosynthesis (137 instances)
Phosphorus Compound Metabolism (19 instances),L2A,Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances),NA
Photosynthesis (7 instances),L2A,Generation of Precursor Metabolites and Energy (240 instances),NA,NA
phthalate degradation (aerobic),L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
phthiocerol biosynthesis,L2A,Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances),NA
Phycobilin Biosynthesis (6 instances),L2A,Porphyrin Compound Biosynthesis (37 instances),Tetrapyrrole Biosynthesis (39 instances),Biosynthesis (1993 instances)
phycocyanobilin biosynthesis,L2A,Phycobilin Biosynthesis (6 instances),Porphyrin Compound Biosynthesis (37 instances),Tetrapyrrole Biosynthesis (39 instances)
phycoerythrobilin biosynthesis I,L2A,Phycobilin Biosynthesis (6 instances),Porphyrin Compound Biosynthesis (37 instances),Tetrapyrrole Biosynthesis (39 instances)
phycoerythrobilin biosynthesis II,L2A,Phycobilin Biosynthesis (6 instances),Porphyrin Compound Biosynthesis (37 instances),Tetrapyrrole Biosynthesis (39 instances)
phycourobilin biosynthesis,L2A,Phycobilin Biosynthesis (6 instances),Porphyrin Compound Biosynthesis (37 instances),Tetrapyrrole Biosynthesis (39 instances)
phycoviolobilin biosynthesis,L2A,Phycobilin Biosynthesis (6 instances),Porphyrin Compound Biosynthesis (37 instances),Tetrapyrrole Biosynthesis (39 instances)
Phylloquinol Biosynthesis (2 instances),L2A,Quinol and Quinone Biosynthesis (57 instances),Electron Carrier Biosynthesis (99 instances),Carrier Biosynthesis (137 instances)
Phytate Biosynthesis (6 instances),L2A,Cyclitol Biosynthesis (19 instances),Sugar Alcohol Biosynthesis (22 instances),Sugar Derivative Biosynthesis (34 instances)
Phytate Degradation (2 instances),L2A,Cyclitol Degradation (6 instances),Sugar Derivative Degradation (56 instances),Secondary Metabolite Degradation (127 instances)
phytate degradation I,L2A,Phytate Degradation (2 instances),Cyclitol Degradation (6 instances),Sugar Derivative Degradation (56 instances)
phytate degradation II,L2A,Phytate Degradation (2 instances),Cyclitol Degradation (6 instances),Sugar Derivative Degradation (56 instances)
Phytoalexin Biosynthesis (38 instances),L2A,Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
Phytoalexin Degradation (2 instances),L2A,Secondary Metabolite Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances),NA
phytochelatins biosynthesis,L2A,Detoxification (65 instances),NA,NA
phytochromobilin biosynthesis,L2A,Phycobilin Biosynthesis (6 instances),Porphyrin Compound Biosynthesis (37 instances),Tetrapyrrole Biosynthesis (39 instances)
phytol degradation,L2A,Alcohol Degradation (20 instances),Degradation/Utilization/Assimilation (1104 instances),NA
phytol salvage pathway,L2A,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
phytyl diphosphate biosynthesis,L2A,Phytyl Diphosphate Biosynthesis (1 instances),Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances)
Phytyl Diphosphate Biosynthesis (1 instances),L2A,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
picolinate degradation,L2A,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances),NA
Pinitol Biosynthesis (2 instances),L2A,Cyclitol Biosynthesis (19 instances),Sugar Alcohol Biosynthesis (22 instances),Sugar Derivative Biosynthesis (34 instances)
pinitol biosynthesis I,L2A,Pinitol Biosynthesis (2 instances),Cyclitol Biosynthesis (19 instances),Sugar Alcohol Biosynthesis (22 instances)
pinitol biosynthesis II,L2A,Pinitol Biosynthesis (2 instances),Cyclitol Biosynthesis (19 instances),Sugar Alcohol Biosynthesis (22 instances)
pinobanksin biosynthesis,L2A,Flavonol Biosynthesis (32 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
pinocembrin C-glucosylation,L2A,Flavone Biosynthesis (15 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
pinolenate and coniferonate biosynthesis,L2A,Polyunsaturated Fatty Acid Biosynthesis (29 instances),Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
pinoresinol degradation,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
piperine biosynthesis,L2A,"Pyrrolidine, Piperidine and Pyridine Alkaloid Biosynthesis (6 instances)",Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)
Plant Cell Structures (10 instances),L2A,Cell Structure Biosynthesis (104 instances),Biosynthesis (1993 instances),NA
Plant Hormone Biosynthesis (37 instances),L2A,Hormone Biosynthesis (68 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
Plant Hormone Degradation (11 instances),L2A,Hormone Degradation (20 instances),Degradation/Utilization/Assimilation (1104 instances),NA
plasmalogen biosynthesis,L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
plasmalogen degradation,L2A,Fatty Acid and Lipid Degradation (57 instances),Degradation/Utilization/Assimilation (1104 instances),NA
Plastoquinol Biosynthesis (3 instances),L2A,Quinol and Quinone Biosynthesis (57 instances),Electron Carrier Biosynthesis (99 instances),Carrier Biosynthesis (137 instances)
plastoquinol-9 biosynthesis I,L2A,Plastoquinol Biosynthesis (3 instances),Quinol and Quinone Biosynthesis (57 instances),Electron Carrier Biosynthesis (99 instances)
plastoquinol-9 biosynthesis II,L2A,Plastoquinol Biosynthesis (3 instances),Quinol and Quinone Biosynthesis (57 instances),Electron Carrier Biosynthesis (99 instances)
platensimycin biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
plaunotol biosynthesis,L2A,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
plumbagin biosynthesis,L2A,Polyketide Biosynthesis (42 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
poly-hydroxy fatty acids biosynthesis,L2A,Hydroxylated Fatty Acid Biosynthesis (3 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
poly(3-O-beta-D-glucopyranosyl-N-acetylgalactosamine 1-phosphate) wall teichoic acid biosynthesis,L2A,Teichoic Acid Biosynthesis (7 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
poly(glycerol phosphate) wall teichoic acid biosynthesis,L2A,Teichoic Acid Biosynthesis (7 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
poly(ribitol phosphate) wall teichoic acid biosynthesis I (B. subtilis),L2A,Teichoic Acid Biosynthesis (7 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
