"","L1...Terminal.Pathway","L3","L4","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"4410","methanol oxidation to formaldehyde III","C1 Compound Utilization and Assimilation (39 instances)","Degradation/Utilization/Assimilation (1104 instances)","Methanol Oxidation (5 instances)",NA,NA,NA,NA,NA,NA
"4411","methanol oxidation to formaldehyde IV","C1 Compound Utilization and Assimilation (39 instances)","Degradation/Utilization/Assimilation (1104 instances)","Methanol Oxidation (5 instances)",NA,NA,NA,NA,NA,NA
"4412","methiin metabolism","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Sulfur-Containing Secondary Compound Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"4413","methoxylated aromatic compound degradation I","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4414","methoxylated aromatic compound degradation II","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4415","methyl ketone biosynthesis (engineered)",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"4416","methyl parathion degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4417","methyl phomopsenoate biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Diterpenoid Biosynthesis (44 instances)",NA,NA,NA,NA,NA,NA
"4418","methyl tert-butyl ether degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"4419","methyl-coenzyme M oxidation to CO2","Anaerobic Respiration (40 instances)","Respiration (65 instances)","Methanogenesis (15 instances)",NA,NA,NA,NA,NA,NA
"4420","methyl-coenzyme M reduction to methane","Anaerobic Respiration (40 instances)","Respiration (65 instances)","Methanogenesis (15 instances)",NA,NA,NA,NA,NA,NA
"4421","Methylamine Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"4422","methylamine degradation I","Amine and Polyamine Degradation (62 instances)","Degradation/Utilization/Assimilation (1104 instances)","Methylamine Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"4423","methylamine degradation II","Amine and Polyamine Degradation (62 instances)","Degradation/Utilization/Assimilation (1104 instances)","Methylamine Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"4424","Methylarsonous Acid Detoxification (3 instances)","Detoxification (65 instances)",NA,"Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"4425","methylarsonous acid detoxification I","Arsenic Compound Detoxification (19 instances)","Detoxification (65 instances)","Methylarsonous Acid Detoxification (3 instances)",NA,NA,NA,NA,NA,NA
"4426","methylarsonous acid detoxification II","Arsenic Compound Detoxification (19 instances)","Detoxification (65 instances)","Methylarsonous Acid Detoxification (3 instances)",NA,NA,NA,NA,NA,NA
"4427","methylarsonous acid detoxification III","Arsenic Compound Detoxification (19 instances)","Detoxification (65 instances)","Methylarsonous Acid Detoxification (3 instances)",NA,NA,NA,NA,NA,NA
"4428","methylaspartate cycle",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"4429","methylbutenol biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"4430","methylerythritol phosphate pathway I","Isopentenyl Diphosphate Biosynthesis (6 instances)","Hemiterpene Biosynthesis (10 instances)","Methylerythritol Phosphate Pathways (2 instances)",NA,NA,NA,NA,NA,NA
"4431","methylerythritol phosphate pathway II","Isopentenyl Diphosphate Biosynthesis (6 instances)","Hemiterpene Biosynthesis (10 instances)","Methylerythritol Phosphate Pathways (2 instances)",NA,NA,NA,NA,NA,NA
"4432","Methylerythritol Phosphate Pathways (2 instances)","Hemiterpene Biosynthesis (10 instances)","Terpenoid Biosynthesis (203 instances)","Isopentenyl Diphosphate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"4433","methylgallate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4434","methylhalides biosynthesis (plants)","Biosynthesis (1993 instances)",NA,"Other Biosynthesis (18 instances)",NA,NA,NA,NA,NA,NA
"4435","methylphosphonate biosynthesis","Phosphonate Metabolism (13 instances)","Phosphorus Compound Metabolism (19 instances)","Phosphonate Compound Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"4436","Methylphosphonate Degradation (3 instances)","Phosphonate Metabolism (13 instances)","Phosphorus Compound Metabolism (19 instances)","Phosphonate Compound Degradation (9 instances)",NA,NA,NA,NA,NA,NA
"4437","methylphosphonate degradation I","Phosphonate Compound Degradation (9 instances)","Phosphonate Metabolism (13 instances)","Methylphosphonate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"4438","methylphosphonate degradation II","Phosphonate Compound Degradation (9 instances)","Phosphonate Metabolism (13 instances)","Methylphosphonate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"4439","methylphosphonate degradation III","Phosphonate Compound Degradation (9 instances)","Phosphonate Metabolism (13 instances)","Methylphosphonate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"4440","methylquercetin biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Flavonol Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"4441","methylsalicylate biosynthesis","Aromatic Compound Biosynthesis (51 instances)","Biosynthesis (1993 instances)","Salicylate and Derivatives Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"4442","Methylthiopropanoate Degradation (2 instances)","Inorganic Nutrient Metabolism (142 instances)","Degradation/Utilization/Assimilation (1104 instances)","Sulfur Compound Metabolism (87 instances)",NA,NA,NA,NA,NA,NA
"4443","methylthiopropanoate degradation I (cleavage)","Sulfur Compound Metabolism (87 instances)","Inorganic Nutrient Metabolism (142 instances)","Methylthiopropanoate Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"4444","methylthiopropanonate degradation II (demethylation)","Sulfur Compound Metabolism (87 instances)","Inorganic Nutrient Metabolism (142 instances)","Methylthiopropanoate Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"4445","methylwyosine biosynthesis","Macromolecule Modification (64 instances)",NA,"Nucleic Acid Processing (21 instances)",NA,NA,NA,NA,NA,NA
"4446","methymycin, neomethymycin and novamethymycin biosynthesis","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)","Macrolide Antibiotic Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"4447","mevalonate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"4448","mevalonate pathway I (eukaryotes and bacteria)","Isopentenyl Diphosphate Biosynthesis (6 instances)","Hemiterpene Biosynthesis (10 instances)","Mevalonate Pathways (4 instances)",NA,NA,NA,NA,NA,NA
"4449","mevalonate pathway II (haloarchaea)","Isopentenyl Diphosphate Biosynthesis (6 instances)","Hemiterpene Biosynthesis (10 instances)","Mevalonate Pathways (4 instances)",NA,NA,NA,NA,NA,NA
"4450","mevalonate pathway III (Thermoplasma)","Isopentenyl Diphosphate Biosynthesis (6 instances)","Hemiterpene Biosynthesis (10 instances)","Mevalonate Pathways (4 instances)",NA,NA,NA,NA,NA,NA
"4451","mevalonate pathway IV (archaea)","Isopentenyl Diphosphate Biosynthesis (6 instances)","Hemiterpene Biosynthesis (10 instances)","Mevalonate Pathways (4 instances)",NA,NA,NA,NA,NA,NA
"4452","Mevalonate Pathways (4 instances)","Hemiterpene Biosynthesis (10 instances)","Terpenoid Biosynthesis (203 instances)","Isopentenyl Diphosphate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"4453","microcin B17 biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"4454","mimosine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Non-Protein Amino Acid Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"4455","mineralocorticoid biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"4456","mithramycin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"4457","mitochondrial L-carnitine shuttle","Degradation/Utilization/Assimilation (1104 instances)",NA,"Fatty Acid and Lipid Degradation (57 instances)",NA,NA,NA,NA,NA,NA
"4458","mitomycin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"4459","Modification of Amino Acid Within Proteins (4 instances)","Biosynthesis (1993 instances)",NA,"Amino Acid Biosynthesis (124 instances)",NA,NA,NA,NA,NA,NA
"4460","molybdenum cofactor biosynthesis","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Molybdenum-Containing Cofactor Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"4461","molybdenum cofactor sulfulylation (eukaryotes)","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Molybdenum-Containing Cofactor Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"4462","Molybdenum-Containing Cofactor Biosynthesis (12 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biosynthesis (1993 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"4463","molybdopterin biosynthesis","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Molybdenum-Containing Cofactor Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"4464","momilactone A biosynthesis","Phytoalexin Biosynthesis (38 instances)","Toxin Biosynthesis (205 instances)","Terpenoid Phytoalexin Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"4465","monoacylglycerol metabolism (yeast)","Biosynthesis (1993 instances)",NA,"Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"4466","monoacylsucrose biosynthesis (Solanum)","Sugar Derivative Biosynthesis (34 instances)","Secondary Metabolite Biosynthesis (911 instances)","Acylsugar biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"4467","Monoterpenoid Biosynthesis (24 instances)","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"4468","morphine biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"4469","mRNA capping I","Macromolecule Modification (64 instances)",NA,"Nucleic Acid Processing (21 instances)",NA,NA,NA,NA,NA,NA
"4470","mupirocin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"4471","muropeptide degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Polymeric Compound Degradation (52 instances)",NA,NA,NA,NA,NA,NA
"4472","mycinamicin biosynthesis","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)","Macrolide Antibiotic Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"4473","mycobacterial sulfolipid biosynthesis","Biosynthesis (1993 instances)",NA,"Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"4474","mycocyclosin biosynthesis","Biosynthesis (1993 instances)",NA,"Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"4475","mycofactocin biosynthesis","Carrier Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"4476","mycolate biosynthesis","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Fatty Acid Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"4477","mycothiol biosynthesis","Electron Carrier Biosynthesis (99 instances)","Carrier Biosynthesis (137 instances)","Reductant Biosynthesis (11 instances)",NA,NA,NA,NA,NA,NA
"4478","mycothiol oxidation","Electron Carrier Biosynthesis (99 instances)","Carrier Biosynthesis (137 instances)","Reductant Biosynthesis (11 instances)",NA,NA,NA,NA,NA,NA
"4479","mycothiol-mediated detoxification",NA,NA,"Detoxification (65 instances)",NA,NA,NA,NA,NA,NA
"4480","myo-inositol biosynthesis","Sugar Alcohol Biosynthesis (22 instances)","Sugar Derivative Biosynthesis (34 instances)","Cyclitol Biosynthesis (19 instances)",NA,NA,NA,NA,NA,NA
"4481","myo-inositol degradation I","Sugar Derivative Degradation (56 instances)","Secondary Metabolite Degradation (127 instances)","Sugar Alcohol Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"4482","myo-inositol degradation II","Sugar Derivative Degradation (56 instances)","Secondary Metabolite Degradation (127 instances)","Sugar Alcohol Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"4483","myricetin gentiobioside biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Flavonol Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"4484","N-acetyl-D-galactosamine degradation","Carbohydrate Degradation (134 instances)","Degradation/Utilization/Assimilation (1104 instances)","Sugar Degradation (77 instances)",NA,NA,NA,NA,NA,NA
"4485","N-acetylglutaminylglutamine amide biosynthesis","Metabolic Regulator Biosynthesis (36 instances)","Biosynthesis (1993 instances)","Organic Solute Biosynthesis (25 instances)",NA,NA,NA,NA,NA,NA
"4486","N-Acetylneuraminate and N-Acetylmannosamine Degradation (2 instances)","Carbohydrate Degradation (134 instances)","Degradation/Utilization/Assimilation (1104 instances)","Sugar Degradation (77 instances)",NA,NA,NA,NA,NA,NA
"4487","N-acetylneuraminate and N-acetylmannosamine degradation I","Sugar Degradation (77 instances)","Carbohydrate Degradation (134 instances)","N-Acetylneuraminate and N-Acetylmannosamine Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"4488","N-acetylneuraminate and N-acetylmannosamine degradation II","Sugar Degradation (77 instances)","Carbohydrate Degradation (134 instances)","N-Acetylneuraminate and N-Acetylmannosamine Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"4489","N-cyclopropylmelamine degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","s-Triazine Degredation (7 instances)",NA,NA,NA,NA,NA,NA
"4490","N-glucosylnicotinate metabolism","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Nitrogen-Containing Glucoside Biosynthesis (18 instances)",NA,NA,NA,NA,NA,NA
"4491","N-hydroxy-L-pipecolate biosynthesis","Biosynthesis (1993 instances)",NA,"Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"4492","N-methyl-Delta1-pyrrolinium cation biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"4493","N-methylanthraniloyl-beta-D-glucopyranose biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Phytoalexin Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"4494","N-methylpyrrolidone degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Degradation/Utilization/Assimilation - Other (28 instances)",NA,NA,NA,NA,NA,NA
"4495","N10-formyl-tetrahydrofolate biosynthesis","Single Carbon Carrier Biosynthesis (23 instances)","Carrier Biosynthesis (137 instances)","Folate Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"4496","N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis","Macromolecule Modification (64 instances)",NA,"Nucleic Acid Processing (21 instances)",NA,NA,NA,NA,NA,NA
"4497","NADH repair (eukaryotes)",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"4498","NADH repair (prokaryotes)",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"4499","NADH to hydrogen peroxide electron transfer","Generation of Precursor Metabolites and Energy (240 instances)",NA,"Electron Transfer Chains (43 instances)",NA,NA,NA,NA,NA,NA
"4500","NADPH repair (eukaryotes)",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"4501","NADPH repair (prokaryotes)",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"4502","Naphthalene Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4503","naphthalene degradation (aerobic)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Naphthalene Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"4504","naphthalene degradation (anaerobic)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Naphthalene Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"4505","narbomycin, pikromycin and novapikromycin biosynthesis","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)","Macrolide Antibiotic Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"4506","naringenin biosynthesis (engineered)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Secondary Metabolite Biosynthesis (911 instances)","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"4507","naringenin C-glucosylation","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Flavanone Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"4508","naringenin glycoside biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Flavanone Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"4509","neoabietic acid biosynthesis","Diterpenoid Biosynthesis (44 instances)","Terpenoid Biosynthesis (203 instances)","Resin Acid Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"4510","neolacto-series glycosphingolipids biosynthesis","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Sphingolipid Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"4511","neolinustatin bioactivation","Nitrogen Containing Glucoside Degradation (12 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)","Cyanogenic Glucoside Degradation (8 instances)",NA,NA,NA,NA,NA,NA
"4512","neomycin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"4513","neopentalenoketolactone and pentalenate biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"4514","neoxaline biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"4515","nepetalactone biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Insecticide Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"4516","nevadensin biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Flavone Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"4517","nickel cofactor biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biosynthesis (1993 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"4518","Nicotinate Degradation (3 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4519","nicotinate degradation I","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nicotinate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"4520","nicotinate degradation II","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nicotinate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"4521","nicotinate degradation III","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nicotinate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"4522","nicotine biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Pyrrolidine, Piperidine and Pyridine Alkaloid Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"4523","Nicotine Degradation (5 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Degradation/Utilization/Assimilation - Other (28 instances)",NA,NA,NA,NA,NA,NA
"4524","nicotine degradation I (pyridine pathway)","Degradation/Utilization/Assimilation - Other (28 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nicotine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"4525","nicotine degradation II (pyrrolidine pathway)","Degradation/Utilization/Assimilation - Other (28 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nicotine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"4526","nicotine degradation III (VPP pathway)","Degradation/Utilization/Assimilation - Other (28 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nicotine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"4527","nicotine degradation IV","Degradation/Utilization/Assimilation - Other (28 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nicotine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"4528","nicotine degradation V","Degradation/Utilization/Assimilation - Other (28 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nicotine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"4529","Nitrate Reduction (11 instances)","Inorganic Nutrient Metabolism (142 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nitrogen Compound Metabolism (33 instances)",NA,NA,NA,NA,NA,NA
"4530","nitrate reduction II (assimilatory)","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Nitrate Reduction (11 instances)",NA,NA,NA,NA,NA,NA
"4531","nitrate reduction V (assimilatory)","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Nitrate Reduction (11 instances)",NA,NA,NA,NA,NA,NA
"4532","nitrate reduction VI (assimilatory)","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Nitrate Reduction (11 instances)",NA,NA,NA,NA,NA,NA
"4533","Nitric Oxide Biosynthesis (3 instances)","Biosynthesis (1993 instances)",NA,"Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA
"4534","nitric oxide biosynthesis I (plants)","Metabolic Regulator Biosynthesis (36 instances)","Biosynthesis (1993 instances)","Nitric Oxide Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"4535","nitric oxide biosynthesis II (mammals)","Metabolic Regulator Biosynthesis (36 instances)","Biosynthesis (1993 instances)","Nitric Oxide Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"4536","nitric oxide biosynthesis III (bacteria)","Metabolic Regulator Biosynthesis (36 instances)","Biosynthesis (1993 instances)","Nitric Oxide Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"4537","nitrilotriacetate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"4538","nitrite biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Non-Protein Amino Acid Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"4539","nitrite reduction (hemoglobin)","Inorganic Nutrient Metabolism (142 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nitrogen Compound Metabolism (33 instances)",NA,NA,NA,NA,NA,NA
"4540","Nitroaromatic Compound Degradation (20 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4541","Nitrobenzene Degradation (3 instances)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nitroaromatic Compound Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"4542","nitrobenzene degradation I","Nitroaromatic Compound Degradation (20 instances)","Aromatic Compound Degradation (227 instances)","Nitrobenzene Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"4543","nitrobenzene degradation II","Nitroaromatic Compound Degradation (20 instances)","Aromatic Compound Degradation (227 instances)","Nitrobenzene Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"4544","Nitrobenzoate Degradation (3 instances)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nitroaromatic Compound Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"4545","nitroethane degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Degradation/Utilization/Assimilation - Other (28 instances)",NA,NA,NA,NA,NA,NA
"4546","Nitrogen Compound Metabolism (33 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Inorganic Nutrient Metabolism (142 instances)",NA,NA,NA,NA,NA,NA
"4547","Nitrogen Containing Glucoside Degradation (12 instances)","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)",NA,NA,NA,NA,NA,NA
"4548","Nitrogen Containing Secondary Compound Degradation (23 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"4549","Nitrogen fixation (2 instances)","Inorganic Nutrient Metabolism (142 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nitrogen Compound Metabolism (33 instances)",NA,NA,NA,NA,NA,NA
"4550","nitrogen fixation I (ferredoxin)","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Nitrogen fixation (2 instances)",NA,NA,NA,NA,NA,NA
"4551","nitrogen fixation II (flavodoxin)","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Nitrogen fixation (2 instances)",NA,NA,NA,NA,NA,NA
"4552","nitrogen remobilization from senescing leaves",NA,NA,"Transport (1 instances)",NA,NA,NA,NA,NA,NA
"4553","Nitrogen-Containing Glucoside Biosynthesis (18 instances)","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"4554","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Biosynthesis (1993 instances)",NA,"Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
