"","value","coef","stderr","N","N.not.0","pval","qval","Pathways","L2","L2A","L2B","L2C","L3","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L2B","L2C","L3","X","Order","Terminal.Pathway","L1...Terminal.Pathway","L2.1","L2A.1","L2B.1","L2C.1","L3.1","L4","X.1","X.2","X.3","X.4","X.5","X.6","ID","Name","value.1","coef.1","stderr.1","N.1","N.not.0.1","pval.1","qval.1","Pathways","L2.2","L2A.2","L2B.2","L2C.2","L3.2"
"PWY-6612","Mucosal",-0.18635505,0.02731654718,91,71,0.00000000128,0.0000000302,"superpathway of tetrahydrofolate biosynthesis","Folate Biosynthesis (14 instances)","","","","Single Carbon Carrier Biosynthesis (23 instances)","Mucosal",-0.1600707969,0.03116421364,86,67,0.00000561,0.0000499,"superpathway of tetrahydrofolate biosynthesis","Folate Biosynthesis (14 instances)","","",NA,"Single Carbon Carrier Biosynthesis (23 instances)",NA,314,"thiazole component of thiamine diphosphate biosynthesis I","thiazole component of thiamine diphosphate biosynthesis I","Thiazole Biosynthesis (4 instances)","",NA,NA,"Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA,"PWY-6897","thiamine diphosphate salvage II","Mucosal",-0.1329281919,0.02764220629,92,65,0.0000165,0.0001389140994,"superpathway of tetrahydrofolate biosynthesis","Folate Biosynthesis (14 instances)","","","","Single Carbon Carrier Biosynthesis (23 instances)"
"PWY-6628","Mucosal",-0.2847119907,0.0536284522,91,51,0.00000865,0.0000636,"superpathway of L-phenylalanine biosynthesis","L-phenylalanine Biosynthesis (4 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.2808838063,0.07870879063,86,53,0.001063673174,0.006032146555,"superpathway of L-phenylalanine biosynthesis","L-phenylalanine Biosynthesis (4 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,316,"tRNA charging","tRNA charging","Aminoacyl-tRNA Charging (4 instances)","Metabolic Clusters (69 instances)",NA,NA,"Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA,NA,"PWY-6892","thiazole component of thiamine diphosphate biosynthesis I","Mucosal",-0.2424711825,0.05492770337,92,59,0.0000688,0.0005259518829,"superpathway of L-phenylalanine biosynthesis","L-phenylalanine Biosynthesis (4 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-6630","Mucosal",-0.3001436874,0.05709046365,91,50,0.0000102,0.0000737,"superpathway of L-tyrosine biosynthesis","L-tyrosine Biosynthesis (5 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.2369513466,0.04319100176,86,53,0.00000578,0.0000508,"superpathway of L-tyrosine biosynthesis","L-tyrosine Biosynthesis (5 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,318,"tRNA processing","tRNA processing","Nucleic Acid Processing (21 instances)","",NA,NA,"Macromolecule Modification (64 instances)",NA,NA,NA,NA,NA,NA,NA,"TRNA-CHARGING-PWY","tRNA charging","Mucosal",-0.2614013682,0.06018791744,92,57,0.000084,0.0006197289154,"superpathway of L-tyrosine biosynthesis","L-tyrosine Biosynthesis (5 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-6700","Mucosal",-0.1985966962,0.03141987929,91,68,0.000000101,0.00000102,"queuosine biosynthesis I (de novo)","Queuosine Biosynthesis and Salvage (3 instances)","","","","Nucleic Acid Processing (21 instances)","Mucosal",-0.1394683556,0.04926973609,86,66,0.00707438959,0.03278561197,"queuosine biosynthesis I (de novo)","Queuosine Biosynthesis and Salvage (3 instances)","","",NA,"Nucleic Acid Processing (21 instances)",NA,319,"UDP-N-acetyl-D-glucosamine biosynthesis I","UDP-N-acetyl-D-glucosamine biosynthesis I","UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances)","",NA,NA,"UDP-sugar Biosynthesis (31 instances)","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA,"PWY0-1479","tRNA processing","Mucosal",-0.108350198,0.03425130717,92,80,0.002875449612,0.0180466651,"queuosine biosynthesis I (de novo)","Queuosine Biosynthesis and Salvage (3 instances)","","","","Nucleic Acid Processing (21 instances)"
"PWY-6737","Mucosal",-0.1867276351,0.01816815814,91,89,0.000000000000157,0.0000000000152,"starch degradation V","Starch Degradation (5 instances)","","","","Polysaccharide Degradation (47 instances)","Mucosal",-0.1522094332,0.01674337288,86,86,0.0000000000176,0.00000000379,"starch degradation V","Starch Degradation (5 instances)","","",NA,"Polysaccharide Degradation (47 instances)",NA,321,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","",NA,NA,"Cell Wall Biosynthesis (26 instances)","Cell Structure Biosynthesis (104 instances)",NA,NA,NA,NA,NA,NA,"PWY-6387","UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)","Mucosal",-0.1379656635,0.01742647678,92,91,0.000000000391,0.000000047,"starch degradation V","Starch Degradation (5 instances)","","","","Polysaccharide Degradation (47 instances)"
"PWY-7111","Mucosal",-0.1709378236,0.0161443499,91,90,0.0000000000000743,0.00000000000928,"pyruvate fermentation to isobutanol (engineered)","Fermentation of Pyruvate (37 instances)","Fermentation to Alcohols (17 instances)","","","Fermentation (81 instances)","Mucosal",-0.1369409806,0.01640238415,86,86,0.000000000174,0.0000000127,"pyruvate fermentation to isobutanol (engineered)","Fermentation of Pyruvate (37 instances)","Fermentation to Alcohols (17 instances)","",NA,"Fermentation (81 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1184236612,0.01749266932,92,92,0.0000000207,0.000000512,"pyruvate fermentation to isobutanol (engineered)","Fermentation of Pyruvate (37 instances)","Fermentation to Alcohols (17 instances)","","","Fermentation (81 instances)"
"PWY-7184","Mucosal",-0.09155171278,0.01958606285,91,91,0.0000269,0.0001838316013,"pyrimidine deoxyribonucleotides de novo biosynthesis I","Metabolic Clusters (69 instances)","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","",NA,"Mucosal",-0.05804234755,0.01874017189,86,86,0.003513550363,0.0180278596,"pyrimidine deoxyribonucleotides de novo biosynthesis I","Metabolic Clusters (69 instances)","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","",NA,NA,NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1017890023,0.02181406486,92,91,0.000027,0.0002184248632,"pyrimidine deoxyribonucleotides de novo biosynthesis I","Metabolic Clusters (69 instances)","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","",NA
"PWY-7187","Mucosal",-0.1130664432,0.01898082248,91,91,0.000000349,0.00000314,"pyrimidine deoxyribonucleotides de novo biosynthesis II","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","","","2'-Deoxyribonucleotide Biosynthesis (11 instances)","Mucosal",-0.08417620958,0.01695237552,86,86,0.0000123,0.0001011342154,"pyrimidine deoxyribonucleotides de novo biosynthesis II","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","",NA,"2'-Deoxyribonucleotide Biosynthesis (11 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1169271862,0.0200470961,92,91,0.000000502,0.00000541,"pyrimidine deoxyribonucleotides de novo biosynthesis II","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","","","2'-Deoxyribonucleotide Biosynthesis (11 instances)"
"PWY-7196","Mucosal",-0.09738771956,0.01635549772,91,91,0.000000345,0.00000314,"superpathway of pyrimidine ribonucleosides salvage","Pyrimidine Nucleotide Salvage (12 instances)","","","","Pyrimidine Nucleotide Biosynthesis (23 instances)","Mucosal",-0.07439723653,0.01646988532,86,86,0.0000496,0.0003654810721,"superpathway of pyrimidine ribonucleosides salvage","Pyrimidine Nucleotide Salvage (12 instances)","","",NA,"Pyrimidine Nucleotide Biosynthesis (23 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.09669322582,0.01826683984,92,91,0.00000318,0.0000297,"superpathway of pyrimidine ribonucleosides salvage","Pyrimidine Nucleotide Salvage (12 instances)","","","","Pyrimidine Nucleotide Biosynthesis (23 instances)"
"PWY-7197","Mucosal",-0.1020494227,0.02055746046,91,90,0.0000103,0.0000739,"pyrimidine deoxyribonucleotide phosphorylation","Metabolic Clusters (69 instances)","Pyrimidine Nucleotide Salvage (12 instances)","","",NA,"Mucosal",-0.0681857533,0.01956360099,86,86,0.001185984959,0.006638435289,"pyrimidine deoxyribonucleotide phosphorylation","Metabolic Clusters (69 instances)","Pyrimidine Nucleotide Salvage (12 instances)","",NA,NA,NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1115582409,0.02335439692,92,89,0.0000187,0.0001542091868,"pyrimidine deoxyribonucleotide phosphorylation","Metabolic Clusters (69 instances)","Pyrimidine Nucleotide Salvage (12 instances)","","",NA
"PWY-7200","Mucosal",-0.09842076751,0.01714913418,91,90,0.000000697,0.00000597,"superpathway of pyrimidine deoxyribonucleoside salvage","Pyrimidine Nucleotide Salvage (12 instances)","","","","Pyrimidine Nucleotide Biosynthesis (23 instances)","Mucosal",-0.07938624323,0.01898099726,86,86,0.0001400514535,0.0009657948234,"superpathway of pyrimidine deoxyribonucleoside salvage","Pyrimidine Nucleotide Salvage (12 instances)","","",NA,"Pyrimidine Nucleotide Biosynthesis (23 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.07957315793,0.02156464178,92,89,0.0005802202396,0.003903721772,"superpathway of pyrimidine deoxyribonucleoside salvage","Pyrimidine Nucleotide Salvage (12 instances)","","","","Pyrimidine Nucleotide Biosynthesis (23 instances)"
"PWY-7208","Mucosal",-0.1187628368,0.01757405889,91,91,0.0000000211,0.000000267,"superpathway of pyrimidine nucleobases salvage","Pyrimidine Nucleotide Salvage (12 instances)","","","","Pyrimidine Nucleotide Biosynthesis (23 instances)","Mucosal",-0.09729694077,0.0166053377,86,86,0.000000569,0.00000672,"superpathway of pyrimidine nucleobases salvage","Pyrimidine Nucleotide Salvage (12 instances)","","",NA,"Pyrimidine Nucleotide Biosynthesis (23 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1136097796,0.01761079495,92,92,0.0000000557,0.000000878,"superpathway of pyrimidine nucleobases salvage","Pyrimidine Nucleotide Salvage (12 instances)","","","","Pyrimidine Nucleotide Biosynthesis (23 instances)"
"PWY-7219","Mucosal",-0.1203392422,0.01743990034,91,91,0.0000000128,0.000000193,"adenosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","","","Purine Nucleotide De Novo Biosynthesis (16 instances)","Mucosal",-0.09859706186,0.01643014175,86,86,0.000000358,0.00000475,"adenosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","",NA,"Purine Nucleotide De Novo Biosynthesis (16 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1136451691,0.0174578668,92,92,0.0000000453,0.000000865,"adenosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","","","Purine Nucleotide De Novo Biosynthesis (16 instances)"
"PWY-7220","Mucosal",-0.1126393169,0.01595126783,91,91,0.00000000821,0.000000133,"adenosine deoxyribonucleotides de novo biosynthesis II","Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","","","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)","Mucosal",-0.08570777046,0.01491027761,86,86,0.000000851,0.00000928,"adenosine deoxyribonucleotides de novo biosynthesis II","Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","",NA,"Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1164420328,0.01628714121,92,92,0.00000000512,0.000000175,"adenosine deoxyribonucleotides de novo biosynthesis II","Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","","","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)"
"PWY-7221","Mucosal",-0.1251649535,0.01849624073,91,91,0.0000000204,0.000000262,"guanosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","","","Purine Nucleotide De Novo Biosynthesis (16 instances)","Mucosal",-0.1028253824,0.0174931382,86,86,0.000000533,0.00000638,"guanosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","",NA,"Purine Nucleotide De Novo Biosynthesis (16 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1202657584,0.01871038934,92,92,0.00000006,0.000000917,"guanosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","","","Purine Nucleotide De Novo Biosynthesis (16 instances)"
"PWY-7222","Mucosal",-0.1126393169,0.01595126783,91,91,0.00000000821,0.000000133,"guanosine deoxyribonucleotides de novo biosynthesis II","Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","","","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)","Mucosal",-0.08570777046,0.01491027761,86,86,0.000000851,0.00000928,"guanosine deoxyribonucleotides de novo biosynthesis II","Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","",NA,"Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1164420328,0.01628714121,92,92,0.00000000512,0.000000175,"guanosine deoxyribonucleotides de novo biosynthesis II","Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","","","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)"
"PWY-7228","Mucosal",-0.09627350077,0.01834303665,91,91,0.00000398,0.0000305,"superpathway of guanosine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Mucosal",-0.06538236149,0.01705694739,86,86,0.0004236551094,0.002685225767,"superpathway of guanosine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","","",NA,"Purine Nucleotide Biosynthesis (33 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1049220565,0.01946594467,92,91,0.00000238,0.0000225,"superpathway of guanosine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-7229","Mucosal",-0.1155684443,0.01663312947,91,91,0.0000000112,0.000000175,"superpathway of adenosine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Mucosal",-0.09240013508,0.01549172426,86,86,0.000000414,0.00000517,"superpathway of adenosine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","","",NA,"Purine Nucleotide Biosynthesis (33 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1122062046,0.01665106594,92,92,0.0000000206,0.000000512,"superpathway of adenosine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-7234","Mucosal",-0.1201732291,0.0187961471,91,91,0.0000000774,0.000000787,"inosine-5'-phosphate biosynthesis III","Inosine-5'-phosphate Biosynthesis (3 instances)","","","","Purine Riboucleotide De Novo Biosynthesis (5 instances)","Mucosal",-0.09356669989,0.01724067823,86,86,0.00000265,0.0000249,"inosine-5'-phosphate biosynthesis III","Inosine-5'-phosphate Biosynthesis (3 instances)","","",NA,"Purine Riboucleotide De Novo Biosynthesis (5 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1183156967,0.02196479975,92,91,0.00000228,0.0000218,"inosine-5'-phosphate biosynthesis III","Inosine-5'-phosphate Biosynthesis (3 instances)","","","","Purine Riboucleotide De Novo Biosynthesis (5 instances)"
"PWY-7328","Mucosal",-0.3702113172,0.1109039783,91,26,0.001597744712,0.009247873366,"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","UDP-sugar Biosynthesis (31 instances)","","","","Sugar Nucleotide Biosynthesis (92 instances)","Mucosal",-0.354608697,0.09603923807,86,20,0.0005776091039,0.003506331321,"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","UDP-sugar Biosynthesis (31 instances)","","",NA,"Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.3070751516,0.08644124163,92,19,0.00102077058,0.006759591003,"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","UDP-sugar Biosynthesis (31 instances)","","","","Sugar Nucleotide Biosynthesis (92 instances)"
"PWY-7377","Mucosal",-0.2289007814,0.04831295249,91,47,0.0000903,0.0005848415817,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","cob(II)yrinate a,c-diamide biosynthesis (2 instances)","","","","Enzyme Cofactor Biosynthesis (137 instances)","Mucosal",-0.2116075181,0.07432804571,86,33,0.01058982292,0.04705374927,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","cob(II)yrinate a,c-diamide biosynthesis (2 instances)","","",NA,"Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.3041644931,0.06355773273,92,35,0.0001942604392,0.001372882599,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","cob(II)yrinate a,c-diamide biosynthesis (2 instances)","","","","Enzyme Cofactor Biosynthesis (137 instances)"
"PWY-7392","Mucosal",-0.23271625,0.04778528425,91,83,0.0000127,0.00009,"taxadiene biosynthesis (engineered)","Diterpenoid Biosynthesis (44 instances)","","","","Terpenoid Biosynthesis (203 instances)","Mucosal",-0.1972377203,0.03200200473,86,77,0.0000000301,0.000000702,"taxadiene biosynthesis (engineered)","Diterpenoid Biosynthesis (44 instances)","","",NA,"Terpenoid Biosynthesis (203 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1692566238,0.04056401418,92,86,0.0000729,0.0005520920917,"taxadiene biosynthesis (engineered)","Diterpenoid Biosynthesis (44 instances)","","","","Terpenoid Biosynthesis (203 instances)"
"PWY-7400","Mucosal",-0.1994791409,0.01790459197,91,87,0.00000000000000987,0.00000000000173,"L-arginine biosynthesis IV (archaea)","L-arginine Biosynthesis (4 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1732550726,0.01840636904,86,83,0.00000000000394,0.00000000113,"L-arginine biosynthesis IV (archaea)","L-arginine Biosynthesis (4 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1599001279,0.01863715139,92,90,0.0000000000432,0.0000000121,"L-arginine biosynthesis IV (archaea)","L-arginine Biosynthesis (4 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-7539","Mucosal",-0.178516856,0.03330582525,91,79,0.00000277,0.0000216,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","","","Folate Biosynthesis (14 instances)","Mucosal",-0.180571895,0.02700306677,86,73,0.0000000376,0.000000832,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","",NA,"Folate Biosynthesis (14 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1687118548,0.03157641636,92,76,0.00000334,0.0000309,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","","","Folate Biosynthesis (14 instances)"
"PWY-7560","Mucosal",-0.1960244031,0.02087606287,91,84,0.00000000000309,0.000000000113,"methylerythritol phosphate pathway II","Methylerythritol Phosphate Pathways (2 instances)","","","","Isopentenyl Diphosphate Biosynthesis (6 instances)","Mucosal",-0.1828949611,0.02474195358,86,80,0.00000000324,0.0000000998,"methylerythritol phosphate pathway II","Methylerythritol Phosphate Pathways (2 instances)","","",NA,"Isopentenyl Diphosphate Biosynthesis (6 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1149405889,0.02385933442,92,90,0.00000633,0.000056,"methylerythritol phosphate pathway II","Methylerythritol Phosphate Pathways (2 instances)","","","","Isopentenyl Diphosphate Biosynthesis (6 instances)"
"PWY-7663","Mucosal",-0.1147873347,0.0173298429,91,91,0.0000000356,0.000000394,"gondoate biosynthesis (anaerobic)","Unsaturated Fatty Acid Biosynthesis (60 instances)","","","","Fatty Acid Biosynthesis (92 instances)","Mucosal",-0.09406908882,0.01770603569,86,86,0.00000363,0.0000333,"gondoate biosynthesis (anaerobic)","Unsaturated Fatty Acid Biosynthesis (60 instances)","","",NA,"Fatty Acid Biosynthesis (92 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1032112886,0.01741357768,92,92,0.00000035,0.00000392,"gondoate biosynthesis (anaerobic)","Unsaturated Fatty Acid Biosynthesis (60 instances)","","","","Fatty Acid Biosynthesis (92 instances)"
"PWY-841","Mucosal",-0.1090212175,0.01730790718,91,91,0.000000107,0.00000105,"superpathway of purine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Mucosal",-0.08212347194,0.01618722342,86,86,0.00000845,0.0000729,"superpathway of purine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","","",NA,"Purine Nucleotide Biosynthesis (33 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1122201425,0.01802288617,92,92,0.000000129,0.00000162,"superpathway of purine nucleotides de novo biosyn","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-922","Mucosal",-0.1719773084,0.03334923622,91,82,0.00000549,0.0000414,"mevalonate pathway I (eukaryotes and bacteria)","Mevalonate Pathways (4 instances)","","","","Isopentenyl Diphosphate Biosynthesis (6 instances)","Mucosal",-0.08573479167,0.02838301163,86,72,0.004294928265,0.02127717336,"mevalonate pathway I (eukaryotes and bacteria)","Mevalonate Pathways (4 instances)","","",NA,"Isopentenyl Diphosphate Biosynthesis (6 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.2319300204,0.03212954122,92,81,0.00000000869,0.000000252,"mevalonate pathway I (eukaryotes and bacteria)","Mevalonate Pathways (4 instances)","","","","Isopentenyl Diphosphate Biosynthesis (6 instances)"
"PWY0-1296","Mucosal",-0.1347085439,0.01976486644,91,91,0.0000000166,0.000000231,"purine ribonucleosides degradation","Purine Nucleotide Degradation (16 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)","Mucosal",-0.1067569798,0.01882280388,86,86,0.00000118,0.0000124,"purine ribonucleosides degradation","Purine Nucleotide Degradation (16 instances)","","",NA,"Nucleoside and Nucleotide Degradation (40 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1235009482,0.01921167151,92,92,0.0000000628,0.000000943,"purine ribonucleosides degradation","Purine Nucleotide Degradation (16 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)"
"PWY0-1297","Mucosal",-0.1250982266,0.01873339652,91,91,0.0000000289,0.000000329,"superpathway of purine deoxyribonucleosides degradation","Nucleoside and Nucleotide Degradation (40 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)","Mucosal",-0.09046760385,0.01820357817,86,86,0.0000121,0.0001003465731,"superpathway of purine deoxyribonucleosides degradation","Nucleoside and Nucleotide Degradation (40 instances)","","",NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1196051516,0.01910875935,92,92,0.000000112,0.00000145,"superpathway of purine deoxyribonucleosides degradation","Nucleoside and Nucleotide Degradation (40 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)"
"PWY0-1298","Mucosal",-0.1175965845,0.01984515783,91,91,0.000000391,0.00000349,"superpathway of pyrimidine deoxyribonucleosides degrad","Pyrimidine Nucleotide Degradation (13 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)","Mucosal",-0.08828568614,0.01904700698,86,86,0.000035,0.0002649945297,"superpathway of pyrimidine deoxyribonucleosides degradation","Pyrimidine Nucleotide Degradation (13 instances)","","",NA,"Nucleoside and Nucleotide Degradation (40 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1141597419,0.01948258848,92,92,0.000000458,0.000005,"superpathway of pyrimidine deoxyribonucleosides degradation","Pyrimidine Nucleotide Degradation (13 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)"
"PWY0-1319","Mucosal",-0.1210799704,0.01774376004,91,91,0.0000000169,0.000000231,"CDP-diacylglycerol biosynthesis II","CDP-diacylglycerol Biosynthesis (3 instances)","","","","Phospholipid Biosynthesis (38 instances)","Mucosal",-0.09839412141,0.01686778435,86,86,0.000000633,0.00000728,"CDP-diacylglycerol biosynthesis II","CDP-diacylglycerol Biosynthesis (3 instances)","","",NA,"Phospholipid Biosynthesis (38 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1128898028,0.0175047589,92,92,0.0000000564,0.000000878,"CDP-diacylglycerol biosynthesis II","CDP-diacylglycerol Biosynthesis (3 instances)","","","","Phospholipid Biosynthesis (38 instances)"
"PWY0-1586","Mucosal",-0.1067455462,0.01702242086,91,91,0.000000121,0.00000117,"peptidoglycan maturation (meso-diaminopimelate containing)","Peptidoglycan Biosynthesis (6 instances)","","","","Cell Wall Biosynthesis (26 instances)","Mucosal",-0.06359432792,0.01898976513,86,86,0.001677905588,0.009154143144,"peptidoglycan maturation (meso-diaminopimelate containing)","Peptidoglycan Biosynthesis (6 instances)","","",NA,"Cell Wall Biosynthesis (26 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1079226254,0.01630183237,92,92,0.0000000321,0.000000675,"peptidoglycan maturation (meso-diaminopimelate containing)","Peptidoglycan Biosynthesis (6 instances)","","","","Cell Wall Biosynthesis (26 instances)"
