feature,MetaCyc_ID,L1...Terminal.Pathway,L2A,L3A ,L4A,L2B,L2C,L2D,L2E,L2F,L2G,L3B,L3C,L3D,L3E,L3F,L3G,L4B,L2C,L2D,L2E,L2F,L2G
PWY0.1338,PWY0-1338,polymyxin resistance,Antibiotic Resistance,Detoxification,NA,Lipopolysaccharide Biosynthesis (68 instances),NA,NA,NA,NA,NA,Cell Structure Biosynthesis (104 instances),NA,NA,NA,NA,NA,Biosynthesis (1993 instances),NA,NA,NA,NA,NA
PWY0.1415,PWY0-1415,superpathway of heme b biosynthesis from uroporphyrinogen-III,Heme b Biosynthesis,Heme Biosynthesis,Enzyme Cofactor Biosynthesis,Heme b Biosynthesis (8 instances),Superpathways (382 instances),NA,NA,NA,NA,Heme Biosynthesis (13 instances),NA,NA,NA,NA,NA,Porphyrin Compound Biosynthesis (37 instances),NA,NA,NA,NA,NA
PWY0.1479,PWY0-1479,tRNA processing,Nucleic Acid Processing,Macromolecule Modification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.1533,PWY0-1533,methylphosphonate degradation I,Methylphosphonate Degradation,Phosphonate Compound Degradation,Phosphonate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.1586,PWY0-1586,peptidoglycan maturation (meso-diaminopimelate containing),Peptidoglycan Biosynthesis,Cell Wall Biosynthesis,Cell Structure Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.162,PWY0-162,superpathway of pyrimidine ribonucleotides de novo biosynthesis,Pyrimidine Ribonucleotide De Novo Biosynthesis,Pyrimidine Nucleotide De Novo Biosynthesis,Pyrimidine Nucleotide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.166,PWY0-166,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis,2'-Deoxyribonucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),Superpathways (382 instances),NA,NA,NA,NA,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances),NA,NA,NA,NA,NA,Pyrimidine Nucleotide Biosynthesis (23 instances),NA,NA,NA,NA,NA
PWY0.321,PWY0-321,phenylacetate degradation I (aerobic),Phenylacetate Degradation,Phenolic Compound Degradation,Aromatic Compound Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.41,PWY0-41,allantoin degradation IV (anaerobic),Allantoin Degradation,Amine and Polyamine Degradation,Degradation/Utilization/Assimilation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.42,PWY0-42,2-methylcitrate cycle I,2-Methylcitrate Cycle,Propanoate Degradation,Carboxylate Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.781,PWY0-781,aspartate superpathway,Superpathways,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY0.845,PWY0-845,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,Superpathways,NA,NA,Vitamin B6 Biosynthesis (5 instances),Vitamin B6 Biosynthesis (5 instances),NA,NA,NA,NA,Enzyme Cofactor Biosynthesis (137 instances),Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA
PWY0.862,PWY0-862,(5Z)-dodecenoate biosynthesis I,(5Z)-dodecenoate Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Fatty Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY490.3,PWY490-3,nitrate reduction VI (assimilatory),Nitrate Reduction,Nitrogen Compound Metabolism,Inorganic Nutrient Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY4FS.7,PWY4FS-7,phosphatidylglycerol biosynthesis I (plastidic),Phosphatidylglycerol Biosynthesis,Phospholipid Biosynthesis,Fatty Acid and Lipid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY4FS.8,PWY4FS-8,phosphatidylglycerol biosynthesis II (non-plastidic),Phosphatidylglycerol Biosynthesis,Phospholipid Biosynthesis,Fatty Acid and Lipid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWYG.321,PWYG-321,mycolate biosynthesis,Fatty Acid Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PYRIDNUCSAL.PWY,PYRIDNUCSAL-PWY,NAD salvage pathway I (PNC VI cycle),NAD Biosynthesis,NAD Metabolism,Electron Carrier Biosynthesis,NAD Biosynthesis (12 instances),NAD Biosynthesis (12 instances),NA,NA,NA,NA,Enzyme Cofactor Biosynthesis (137 instances),NAD Metabolism (19 instances),NA,NA,NA,NA,"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",Enzyme Cofactor Biosynthesis (137 instances),NA,NA,NA,NA
PYRIDNUCSYN.PWY,PYRIDNUCSYN-PWY,NAD de novo biosynthesis I (from aspartate),NAD Biosynthesis,NAD Metabolism,Electron Carrier Biosynthesis,NAD Biosynthesis (12 instances),NAD Biosynthesis (12 instances),NA,NA,NA,NA,Enzyme Cofactor Biosynthesis (137 instances),NAD Metabolism (19 instances),NA,NA,NA,NA,"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",Enzyme Cofactor Biosynthesis (137 instances),NA,NA,NA,NA
PYRIDOXSYN.PWY,PYRIDOXSYN-PWY,pyridoxal 5'-phosphate biosynthesis I,Vitamin B6 Biosynthesis,Enzyme Cofactor Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",Vitamin B6 Biosynthesis (5 instances),NA,NA,NA,NA,NA,Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,NA,"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA
REDCITCYC,REDCITCYC,TCA cycle VI (Helicobacter),TCA cycle,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RHAMCAT.PWY,RHAMCAT-PWY,L-rhamnose degradation I,L-rhamnose Degradation,Sugar Degradation,Carbohydrate Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RIBOSYN2.PWY,RIBOSYN2-PWY,flavin biosynthesis I (bacteria and plants),Flavin Biosynthesis,Electron Carrier Biosynthesis,Carrier Biosynthesis,Flavin Biosynthesis (5 instances),Flavin Biosynthesis (5 instances),NA,NA,NA,NA,Enzyme Cofactor Biosynthesis (137 instances),Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA
RUMP.PWY,RUMP-PWY,formaldehyde oxidation I,Formaldehyde Oxidation,C1 Compound Utilization and Assimilation,Degradation/Utilization/Assimilation,Generation of Precursor Metabolites and Energy (240 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALVADEHYPOX.PWY,SALVADEHYPOX-PWY,adenosine nucleotides degradation II,Adenosine Nucleotide Degradation,Purine Nucleotide Degradation,Nucleoside and Nucleotide Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER.GLYSYN.PWY,SER-GLYSYN-PWY,superpathway of L-serine and glycine biosynthesis I,Amino Acid Biosynthesis,Biosynthesis,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO4ASSIM.PWY,SO4ASSIM-PWY,assimilatory sulfate reduction I,Assimilatory Sulfate Reduction,Sulfur Compound Metabolism,Inorganic Nutrient Metabolism,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SULFATE.CYS.PWY,SULFATE-CYS-PWY,superpathway of sulfate assimilation and cysteine biosynthesis,Sulfur Compound Metabolism,Inorganic Nutrient Metabolism,Degradation/Utilization/Assimilation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCA,TCA,TCA cycle I (prokaryotic),TCA cycle,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCA.GLYOX.BYPASS,TCA-GLYOX-BYPASS,superpathway of glyoxylate bypass and TCA,Superpathways,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEICHOICACID.PWY,TEICHOICACID-PWY,poly(glycerol phosphate) wall teichoic acid biosynthesis,Teichoic Acid Biosynthesis,Cell Wall Biosynthesis,Cell Structure Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THISYN.PWY,THISYN-PWY,superpathway of thiamine diphosphate biosynthesis I,Superpathways,NA,NA,Thiamine Biosynthesis (20 instances),Thiamine Biosynthesis (20 instances),NA,NA,NA,NA,Enzyme Cofactor Biosynthesis (137 instances),Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA
THREOCAT.PWY,THREOCAT-PWY,superpathway of L-threonine metabolism,L-threonine Degradation,Proteinogenic Amino Acid Degradation,Amino Acid Degradation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THRESYN.PWY,THRESYN-PWY,superpathway of L-threonine biosynthesis,L-threonine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRNA.CHARGING.PWY,TRNA-CHARGING-PWY,tRNA charging,Aminoacyl-tRNA Charging,Biosynthesis,NA,Metabolic Clusters (69 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRPSYN.PWY,TRPSYN-PWY,L-tryptophan biosynthesis,L-tryptophan Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UBISYN.PWY,UBISYN-PWY,superpathway of ubiquinol-8 biosynthesis (early decarboxylation),Superpathways,NA,NA,Ubiquinol Biosynthesis (12 instances),NA,NA,NA,NA,NA,Quinol and Quinone Biosynthesis (57 instances),NA,NA,NA,NA,NA,Electron Carrier Biosynthesis (99 instances),NA,NA,NA,NA,NA
UDPNAGSYN.PWY,UDPNAGSYN-PWY,UDP-N-acetyl-D-glucosamine biosynthesis I,UDP-N-acetyl-D-glucosamine Biosynthesis,UDP-sugar Biosynthesis,Sugar Nucleotide Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VALSYN.PWY,VALSYN-PWY,L-valine biosynthesis,L-valine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARGORNPROST.PWY,ARGORNPROST-PWY,"arginine, ornithine and proline interconversion",Superpathways,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5182,PWY-5182, toluene degradation II (aerobic) (via 4-methylcatechol),Superpathways,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
